rep,method,estimate,error,estimate_income,error_income,main_l2,pair_l2,validation_tv,ess,max_weight,num_trees
14,EB-offset hybrid: pairwise,5.699854097711562,0.030324136881588082,24421.80975257623,-101.10504563004724,5.039759770960956e-14,5.507128145668405e-14,0.0063684906974450246,249.78420986297021,0.011594863019442665,1.0
15,Biased source,6.869837261529735,1.2003073006997615,38055.288888888885,13532.374090682606,0.9036604232140157,1.0188056536099221,0.10585699258942921,449.9999999999999,0.0022222222222222222,
15,Main-effect EB,5.699345985214371,0.02981602438439701,22603.425857673406,-1919.4889405328722,2.4378928686014484e-12,0.539165624185273,0.014628216244730582,260.63352965070305,0.014409656235213706,
15,Fixed pairwise EB,5.745461509560896,0.07593154873092267,24411.987454504306,-110.92734370197286,4.062383845808102e-15,4.497959014205034e-15,0.009423037541854898,190.5477382623731,0.027428008668068552,
15,EB-offset hybrid: main,5.707246429910675,0.03771646908070103,23176.308967412224,-1346.6058307940548,4.2500822079820106e-09,0.440170998091055,0.012016713720496537,255.72106203939737,0.016400543798012923,7.0
15,EB-offset hybrid: pairwise,5.7494100515337445,0.07988009070377089,24487.819700755263,-35.095097451016045,1.6572393864149204e-12,2.3528133442589407e-12,0.008999265775451862,188.8368321605619,0.02825116842562399,7.0
16,Biased source,7.297169414366725,1.6276394535367515,40798.64444444445,16275.729646238171,0.9821368663228962,1.078044449570694,0.11793136719893098,449.9999999999999,0.0022222222222222222,
16,Main-effect EB,5.674422349040525,0.0048923882105516014,22271.919925375776,-2250.9948728305026,2.7127759355754483e-14,0.3928057280285492,0.011736588578923972,264.66161786226746,0.013662477910827506,
16,Fixed pairwise EB,5.689010614708058,0.01948065387808473,23783.24288770396,-739.6719105023185,1.4153026219645702e-09,1.7679221876439417e-09,0.007996871913293766,208.85399698775944,0.021423995117507356,
16,EB-offset hybrid: main,5.6571321519202975,-0.012397808909676122,22773.120956985065,-1749.7938412212134,6.207563091058995e-09,0.3368121506544135,0.009851186089725577,255.749482631929,0.0146051350949753,8.0
16,EB-offset hybrid: pairwise,5.64618965289371,-0.023340307936263294,23806.3584945466,-716.5563036596795,2.113636106506524e-14,3.6053481729641476e-14,0.008250954803173262,205.88369715684465,0.021709340051156593,8.0
17,Biased source,7.188733357832453,1.519203397002479,39289.84444444445,14766.929646238168,0.9933569547834571,1.1174472704690697,0.12064286109727088,449.9999999999999,0.0022222222222222222,
17,Main-effect EB,5.673392547147651,0.003862586317677774,22100.18736999194,-2422.727428214337,1.6596750207298663e-10,0.7104725918977854,0.018656931763312113,263.22040855974126,0.010825968703831552,
17,Fixed pairwise EB,5.7447513132714185,0.0752213524414449,24168.799221203637,-354.11557700264166,2.4412395056809962e-11,4.3386845148024584e-11,0.008291484600631976,120.81756126222952,0.023211609618889514,
17,EB-offset hybrid: main,5.687309518853492,0.01777955802351805,22327.202027888416,-2195.712770317863,5.487059286687091e-15,0.6910143107927439,0.01857554432027462,260.531449419617,0.010072210404360902,3.0
17,EB-offset hybrid: pairwise,5.746976117675902,0.07744615684592837,24335.519073861564,-187.39572434471484,3.565075564324506e-11,8.373711342040685e-11,0.007810265177278719,119.73268998905316,0.024296030844283324,9.0
18,Biased source,6.888978476436932,1.2194485156069588,38055.288888888885,13532.374090682606,0.8810636879499822,0.9713586190710429,0.10278485617798047,449.9999999999999,0.0022222222222222222,
18,Main-effect EB,5.704929177818128,0.035399216988154514,22335.360506656718,-2187.5542915495607,1.8555020923045505e-12,0.43618088195006527,0.017469555334127758,269.9067773776575,0.013380093043892491,
18,Fixed pairwise EB,5.75934066462798,0.08981070379800649,24821.639171415587,298.7243732093084,5.0819023884432685e-09,6.883696161002322e-09,0.01230124854838897,217.42555676927014,0.019687844836125356,
18,EB-offset hybrid: main,5.723880152780614,0.054350191950640614,22679.82954269585,-1843.0852555104284,8.720268729716005e-09,0.38733339326690147,0.014018442331805561,266.29816679266895,0.013945324786794102,5.0
18,EB-offset hybrid: pairwise,5.758310063146397,0.08878010231642364,24740.235983960563,217.32118575428467,1.3749353928138342e-15,2.8803035662866996e-15,0.010672109717294808,215.43148404502276,0.019623300493898,6.0
19,Biased source,7.319091987410195,1.649562026580221,40261.86666666666,15738.951868460383,0.9328318741774152,1.0188651566466418,0.11081190436646367,449.9999999999999,0.0022222222222222222,
19,Main-effect EB,5.776052046888584,0.10652208605861002,23616.374182642423,-906.5406155638557,1.3785636116567855e-09,0.46835536718862897,0.01132766651518832,271.67426383697426,0.01346299757421556,
19,Fixed pairwise EB,5.7261103245462035,0.056580363716229876,24182.09331915748,-340.8214790487982,8.264488423432175e-11,1.2127864812714116e-10,0.006125187787783871,203.6877641441079,0.020174817688707703,
19,EB-offset hybrid: main,5.7787935383179345,0.1092635774879609,23598.72331233495,-924.191485871328,2.443419733336803e-09,0.41571225443243676,0.010255527766824625,260.08158710869765,0.014483750541799291,7.0
19,EB-offset hybrid: pairwise,5.735276132490391,0.0657461716604173,23857.403105945057,-665.5116922612215,3.5084878827588074e-15,5.4609419133928525e-15,0.006005288732049448,197.04812737392587,0.019611722304426427,11.0
20,Biased source,7.210262622206266,1.5407326613762926,38936.51111111111,14413.596312904832,0.9932917540086156,1.1273573025756367,0.12459857166583643,449.9999999999999,0.0022222222222222222,
20,Main-effect EB,5.726233199059,0.056703238229026454,21571.819208933033,-2951.0955892732454,3.09894561521204e-10,0.6362725278326584,0.017872637272399357,264.91298413741583,0.012025398435762233,
20,Fixed pairwise EB,5.687737484686465,0.018207523856490937,24183.164141728124,-339.75065647815427,1.7092005041438373e-14,4.0638985625366804e-14,0.008690126068836748,158.77964974662353,0.044621858449990594,
20,EB-offset hybrid: main,5.726233199059,0.056703238229026454,21571.819208933033,-2951.0955892732454,3.09894561521204e-10,0.6362725278326584,0.017872637272399357,264.91298413741583,0.012025398435762233,0.0
20,EB-offset hybrid: pairwise,5.682879185351032,0.013349224521058467,24187.22658455159,-335.6882136546883,1.5008843771786225e-13,1.719593279214085e-13,0.008691777114715315,158.86725380824782,0.04473695512790647,1.0
21,Biased source,6.662959866313198,0.9934299054832243,38786.48888888889,14263.57409068261,0.8638989341797678,1.022326656833617,0.09817881857941665,449.9999999999999,0.0022222222222222222,
21,Main-effect EB,5.631216153181599,-0.03831380764837444,23507.750525403862,-1015.1642728024162,2.2045473197590025e-13,0.5476901709953218,0.013195941586674623,291.19450676696204,0.009946370773181275,
21,Fixed pairwise EB,5.661694939469499,-0.007835021360474315,24738.09293651506,215.17813830878004,5.823640082120469e-14,1.5216706628383936e-13,0.006836249882912272,216.13703583924558,0.018260866398101653,
21,EB-offset hybrid: main,5.622001595866584,-0.04752836496338997,23574.943408521358,-947.9713896849207,1.0192942720068575e-09,0.5313790010032899,0.012949326239295648,288.0753182426466,0.010539705356158693,3.0
21,EB-offset hybrid: pairwise,5.661694939469499,-0.007835021360474315,24738.09293651506,215.17813830878004,5.823640082120469e-14,1.5216706628383936e-13,0.006836249882912272,216.13703583924558,0.018260866398101653,0.0
22,Biased source,7.134896223754936,1.4653662629249622,39392.288888888885,14869.374090682606,0.9349761020610298,1.0688146083717462,0.11067210793967167,449.9999999999999,0.0022222222222222222,
22,Main-effect EB,5.7537632667495995,0.08423330591962586,22566.744414572095,-1956.170383634184,4.258600542946108e-15,0.5490779788162747,0.01607043889992355,259.1594266350347,0.012342036247697306,
22,Fixed pairwise EB,5.722827687570856,0.05329772674088229,24145.07182504208,-377.84297316419907,2.563523666013176e-09,4.987164335141568e-09,0.005280633681043785,195.36657320930243,0.02437976062105941,
22,EB-offset hybrid: main,5.76608404169299,0.09655408086301609,23191.85585085526,-1331.058947351019,3.6131787926712265e-10,0.4816601833825744,0.013339867041393309,252.44018551342356,0.012494597360365149,7.0
22,EB-offset hybrid: pairwise,5.729745092032121,0.060215131202147276,24413.15848163276,-109.75631657351914,5.17184749183799e-15,6.833123020414131e-15,0.005504340942571121,192.38294108935818,0.024870153253471246,6.0
23,Biased source,7.163835653362761,1.4943056925327873,41947.066666666666,17424.151868460387,1.0095495253098583,1.1280275729595624,0.1215773364652291,449.9999999999999,0.0022222222222222222,
23,Main-effect EB,5.583946859020944,-0.0855831018090294,22728.399245569555,-1794.5155526367234,4.415554143289461e-09,0.5412387693884475,0.01412865312461634,245.7701923140714,0.014570363920988786,
