method,estimate,error,ess,main_l2,pair_l2,latent_z_l2,num_trees,rep
Naive respondents,200.83528078503474,-10.475801064304477,496.9999999999997,0.4209812282898475,0.1527105646525993,0.448154550527789,0.0,16
OLS prediction,210.06106145668278,-1.2500203926564382,,,,,,16
EB main,209.28225698114449,-2.0288248681947323,351.7809641403309,1.8526844304076155e-13,0.10642276847780319,0.17352082563608953,0.0,16
EB pairwise,209.32101872704837,-1.9900631222908487,328.3407999202371,4.1188645578892624e-12,9.261952092433937e-12,0.1421461173260913,0.0,16
EB-offset hybrid: main,209.44408543354015,-1.8669964157990648,349.74543545723145,1.3602111483940127e-10,0.08446637344223723,0.15956646724464976,5.0,16
EB-offset hybrid: pairwise,209.4197592893873,-1.8913225599519308,330.1279649961328,4.005411052803432e-14,8.205299556604051e-14,0.13922887885455357,3.0,16
Naive respondents,198.203970121526,-11.484818122441624,508.0,0.4252094092317963,0.24300563360192462,0.4647834103880289,0.0,17
OLS prediction,207.91704932118927,-1.7717389227783542,,,,,,17
EB main,206.60691075680455,-3.0818774871630694,361.4733360309756,4.763354316209375e-13,0.3510066687239906,0.1925121022138105,0.0,17
EB pairwise,210.15568066147068,0.4668924175030611,296.00316231298797,6.023235326843809e-13,1.0486661076287263e-12,0.01849149792397908,0.0,17
EB-offset hybrid: main,206.60362998861217,-3.085158255355452,361.5990332600424,2.8817126057409953e-09,0.3531655066670542,0.19393011070911623,1.0,17
EB-offset hybrid: pairwise,210.57864780843337,0.8898595644657519,295.7463513846018,1.0836361737285848e-14,9.476241971550947e-15,0.0313111676804161,13.0,17
Naive respondents,202.7617140594361,-8.49254808415958,489.99999999999994,0.4212931851746463,0.10687469952480064,0.41311098514797956,0.0,18
OLS prediction,211.10483698260447,-0.14942516099119985,,,,,,18
EB main,209.9650632189651,-1.2891989246305684,381.52602158113507,6.137787164205401e-14,0.1539357450860807,0.08008528545476608,0.0,18
EB pairwise,209.46075603452448,-1.7935061090711883,376.86319103170206,2.3004490422812336e-09,3.425696684581855e-09,0.11882713674471644,0.0,18
EB-offset hybrid: main,210.13897037976463,-1.1152917638310385,381.52054334401566,1.0437112568763447e-10,0.13173896347662017,0.08151395851386856,5.0,18
EB-offset hybrid: pairwise,209.65528675803682,-1.5989753855588447,369.67972725929405,2.6847979133224014e-15,4.204344932369695e-15,0.10296352527897155,6.0,18
Naive respondents,199.7840680592041,-10.769676822246396,500.0000000000005,0.42959504198297854,0.214239280233793,0.4539107683531897,0.0,19
OLS prediction,209.7634308971788,-0.7903139842716769,,,,,,19
EB main,208.68783150857476,-1.865913372875724,376.4663118672659,1.3915944119115143e-15,0.20037069086469014,0.16080247566719075,0.0,19
EB pairwise,209.0467887942637,-1.5069560871867793,360.2106280110916,6.163851216103192e-15,1.0064824945282153e-14,0.11729653548286176,0.0,19
EB-offset hybrid: main,208.79599118250383,-1.757753698946658,373.7795763759909,3.0237548019587085e-11,0.18147669355016705,0.14951191912475592,3.0,19
EB-offset hybrid: pairwise,209.30284292646738,-1.2509019549831066,358.4867777560435,3.081245393062449e-10,5.178404344142928e-10,0.1067905006544398,9.0,19
Naive respondents,200.91800656281342,-9.136371955034718,477.9999999999997,0.46989641416696776,0.21985843060148721,0.47085687789273195,0.0,20
OLS prediction,210.51241617752663,0.45803765967849586,,,,,,20
EB main,209.3735059416486,-0.6808725761995333,350.6168454433874,6.500038594046002e-15,0.12982194676419867,0.0805721878714181,0.0,20
EB pairwise,209.1457103944225,-0.9086681234256275,332.2132178492411,1.2529592429835083e-10,3.0487477156594725e-10,0.07880930019597665,0.0,20
EB-offset hybrid: main,209.50551920488542,-0.5488593129627191,337.0187955644925,2.136980734229134e-10,0.11387727647381705,0.08714077932292578,9.0,20
EB-offset hybrid: pairwise,209.45846034509358,-0.5959181727545513,329.42936996576526,3.200071291147086e-16,1.0258914144353256e-15,0.07293154519183737,14.0,20
Naive respondents,200.56297309573017,-9.961191837764687,501.99999999999955,0.3597483194805618,0.1922185497166066,0.40039914199412796,0.0,21
OLS prediction,208.67640981762074,-1.8477551158741221,,,,,,21
EB main,207.7012859724187,-2.8228789610761567,404.1515008662446,5.293613355818936e-15,0.40191589470997263,0.20085493985372438,0.0,21
EB pairwise,210.00549965694313,-0.5186652765517294,359.9074545597119,4.902766721911771e-10,6.173668995704536e-10,0.060289115650399044,0.0,21
EB-offset hybrid: main,208.84465191142505,-1.6795130220698127,399.9293805351469,2.0782840330608914e-11,0.25993198830524,0.16416354448272472,10.0,21
EB-offset hybrid: pairwise,210.44069239175707,-0.08347254173779106,357.1240629061803,1.4802398916120402e-14,2.3351886885781748e-14,0.05246953280702368,10.0,21
Naive respondents,201.29887155080934,-8.150430528292816,538.9999999999999,0.3551054700594759,0.08878604391312132,0.3573883663412386,0.0,22
OLS prediction,208.5256572340522,-0.9236448450499495,,,,,,22
EB main,207.95225398366185,-1.4970480954403058,431.10826066042387,9.945600475729299e-13,0.20056253385461723,0.11676093937695524,0.0,22
EB pairwise,208.00645765678019,-1.4428444223219685,422.0680047738708,1.771566515891387e-09,5.64905330296684e-09,0.12980105498981548,0.0,22
EB-offset hybrid: main,207.9687622049781,-1.480539874124048,433.07374316058406,2.972313097830009e-09,0.17160851050489245,0.12118354194737291,2.0,22
EB-offset hybrid: pairwise,208.13117572412193,-1.3181263549802225,424.5066760427584,9.764064474720704e-12,3.147670730005117e-11,0.13927998225840993,5.0,22
Naive respondents,196.42812561400473,-10.282949054620047,509.00000000000017,0.41654087257149536,0.2004250121154623,0.4555175851565299,0.0,23
OLS prediction,205.7238109168141,-0.9872637518106728,,,,,,23
EB main,204.76058946941805,-1.9504851992067245,377.01467042082675,1.0283999193405246e-09,0.34214292719661726,0.24582231672687896,0.0,23
EB pairwise,207.79424879253352,1.0831741239087478,275.71695618159794,8.35203352818567e-11,6.627884418375753e-11,0.07158981904343117,0.0,23
EB-offset hybrid: main,204.90742296624384,-1.8036517023809324,323.0779084056925,7.108747009993946e-10,0.3154218491509369,0.21417214934095782,11.0,23
